time/fps,rollout/episodes,time/time_elapsed,time/total_timesteps,time/iterations,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/n_updates,train/explained_variance,train/entropy_loss,train/clip_range,train/loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate,rollout/ep_rew_mean,rollout/win_rate_true_start,rollout/fill_mean_true_start,rollout/ep_len_mean,rollout/fill_mean,rollout/success_rate
,,,14680064,,-1.9124419850413688e-05,0.011021987993444782,3.511936e-05,0.00030994415283203125,2.5422949e-06,220,0.931154191493988,-0.0030357964078575606,0.0639552,0.005649694241583347,16335.28,248.64776611328125,1.0,,,,,,
14304,0,1026,14680064,56,,,,,,,,,,,,,,,,,,,
14449,0,1034,14942208,57,-1.505676800661604e-05,0.011517908184032422,3.3939712e-05,0.0002536773681640625,2.7136707e-06,224,0.9281762838363647,-0.003089659170655068,0.06329984,0.005647500976920128,,,,,,,,,
14591,0,1042,15204352,58,-2.351768853259273e-05,0.010583626361039933,3.2760064000000007e-05,0.00029087066650390625,3.0379074e-06,228,0.9318569302558899,-0.0029535863577621058,0.06264448,0.0052841585129499435,,,,,,,,,
14733,0,1049,15466496,59,-1.6269746993202716e-05,0.01131119505589595,3.1580416e-05,0.00023174285888671875,1.4889604e-06,232,0.9289193153381348,-0.002779093621938955,0.06198912,0.005798615049570799,,,,,,,,,
14873,0,1057,15728640,60,-1.212094139191322e-05,0.011307863154797815,3.0400768e-05,0.000240325927734375,2.130114e-06,236,0.9303765296936035,-0.002844394226485747,0.06133376,0.005305176135152578,,,,,,,,,
15010,0,1065,15990784,61,-1.847309249569662e-05,0.010621133602398913,2.9221120000000005e-05,0.000217437744140625,1.973508e-06,240,0.9328194856643677,-0.0027048758820455987,0.0606784,0.005324428901076317,,,,,,,,,
15146,0,1073,16252928,62,-2.8245381599845132e-05,0.011704918186296709,2.8041471999999996e-05,0.00036334991455078125,3.980517e-06,244,0.9288222193717957,-0.002905301946157124,0.06002304,0.0065289949998259544,,,,,,,,,
15280,0,1080,16515072,63,-1.742308404573123e-05,0.011220438820600975,2.6861824e-05,0.00027179718017578125,2.0205484e-06,248,0.930795431137085,-0.002908377509811544,0.059367680000000006,0.006303552072495222,,,,,,,,,
,,,16777216,,-2.4286201096401783e-05,0.012290309190575499,2.5682176000000004e-05,0.000270843505859375,2.8689888e-06,252,0.9249931573867798,-0.0027785709244199097,0.058712320000000005,0.006166435778141022,16389.52,248.59361267089844,1.0,,,,,,
14333,0,1170,16777216,64,,,,,,,,,,,,,,,,,,,
14463,0,1178,17039360,65,-1.3285169643495465e-05,0.01161870414216537,2.4502528000000008e-05,0.00025463104248046875,2.0527787e-06,256,0.9288082122802734,-0.0029819574247085257,0.058056960000000005,0.005427843891084194,,,,,,,,,
14589,0,1185,17301504,66,-1.6724563920433866e-05,0.012531719250546303,2.332288e-05,0.00019931793212890625,1.5027574e-06,260,0.9246577620506287,-0.002777191013592528,0.057401600000000004,0.006302284076809883,,,,,,,,,
