time/total_timesteps,curriculum/frontier,time/iterations,time/time_elapsed,rollout/episodes,curriculum/success_rate,time/fps,train/clip_range,train/explained_variance,train/approx_kl,train/value_loss,train/loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/n_updates,train/policy_gradient_loss,rollout/win_rate_true_start,rollout/fill_mean,rollout/fill_mean_true_start,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,eval/mean_ep_length,eval/success_rate,eval/mean_reward
4849664,80,37,91,1839,0.7233935742971888,53269,0.17640704000000001,0.8965879678726196,0.0015422697,2.26784885302186,1.0644543170928955,0.00025438694399999997,0.015398025512695312,-0.2683004434220493,143,-0.0015316068238462321,0.0,0.9028457495015405,0.5219696161098659,15.154370307922363,0.59,66.64,,,
4980736,80,38,93,1786,0.7387198321091291,53320,0.17575168000000002,0.9046628475189209,0.0017441307,2.0999328307807446,1.008264422416687,0.0002531199146666667,0.023756027221679688,-0.271704220212996,147,-0.0014385633512574714,0.0,0.891176917865981,0.5175438596491229,16.714811325073242,0.52,76.2,,,
5111808,80,39,95,1841,0.7404580152671756,53366,0.17509632,0.9037917256355286,0.0016075452,2.0739189870655537,1.056048035621643,0.00025185288533333334,0.018426895141601562,-0.26669692527502775,151,-0.0014770041379961185,0.0,0.8980089994031693,0.5324730759127922,17.956483840942383,0.63,74.53,,,
5242880,,,,,,,0.17444096,0.9067727327346802,0.0017237981,2.025033226236701,0.9434939622879028,0.000250585856,0.019308090209960938,-0.2567026582546532,155,-0.0016318735124514205,,,,,,,184.09,0.0,42.426963806152344
5242880,80,40,99,1889,0.7216284987277354,52650,,,,,,,,,,,0.0,0.8866929396310022,0.5266713254134638,17.77483367919922,0.56,76.18,,,
5373952,80,41,101,1921,0.7646493756003843,52698,0.1737856,0.8982450366020203,0.0014408666,2.2267796583473682,1.0915040969848633,0.00024931882666666665,0.015893936157226562,-0.24484424642287195,159,-0.0014774144310649717,0.0,0.9114144510639393,0.5292618085145125,17.0410213470459,0.66,69.99,,,
5505024,80,42,104,1890,0.769116186693148,52757,0.17313024000000002,0.9055477976799011,0.0014201187,1.941497402265668,0.9299032688140869,0.0002480517973333333,0.019369125366210938,-0.23949565971270204,163,-0.0013697061094717355,0.0,0.8991834868378078,0.5216377725242973,16.970741271972656,0.61,70.27,,,
5636096,80,43,106,1844,0.7718859429714857,52781,0.17247488,0.8986121416091919,0.0014786241,2.1077958550304174,1.0218784809112549,0.00024678476799999997,0.017427444458007812,-0.23791858064942062,167,-0.0012343289436103078,0.0,0.9047427760370639,0.5217391304347826,17.484580993652344,0.64,76.43,,,
5767168,80,44,109,1944,0.7825458052073289,52799,0.17181952,0.8966001272201538,0.0019068529,2.068006955087185,1.0275019407272339,0.0002455177386666666,0.020519256591796875,-0.23553891573101282,171,-0.0010765719698611065,0.0,0.9052481837118325,0.5315315315315315,16.81359100341797,0.64,67.42,,,
5898240,80,45,111,1870,0.7817638266068759,52836,0.17116416,0.8999816179275513,0.0013881994,2.0123716350644827,0.9552860260009766,0.00024425070933333334,0.016864776611328125,-0.23151535680517554,175,-0.0014124338731562602,0.0,0.904297880768469,0.5345372921130496,16.827760696411133,0.66,73.25,,,
6029312,80,46,114,1899,0.7887740029542097,52872,0.17050880000000002,0.9023160338401794,0.001388063,1.9958104882389307,1.0089188814163208,0.00024298368,0.0171051025390625,-0.2337772126775235,179,-0.0014256291233323282,0.0,0.9014946137993355,0.5181159420289855,17.01881980895996,0.63,72.19,,,
6160384,80,47,116,1851,0.7990913679959616,52936,0.16985344,0.893368661403656,0.0015022416,2.150837693363428,1.02083158493042,0.00024171665066666665,0.018438339233398438,-0.2291232063435018,183,-0.0016964927099252236,0.0,0.9019148808451888,0.5328661995328662,18.794832229614258,0.64,76.18,,,
6291456,80,48,118,1851,0.8048411497730711,52974,0.16919808,0.9060194492340088,0.0017856315,1.9144688304513693,0.9671152234077454,0.00024044962133333334,0.021921157836914062,-0.2309540188871324,187,-0.0012065255323250312,0.0,0.9009344298377253,0.5278113258185722,16.538419723510742,0.62,72.59,,,
6422528,80,49,121,1852,0.7992939989914272,52983,0.16854272,0.8979774713516235,0.0023323197,2.003069883212447,0.9321411848068237,0.000239182592,0.027296066284179688,-0.22621938167139888,191,-0.0005680263202521019,0.0,0.9007146094979069,0.5256114289537958,15.188896179199219,0.68,62.11,,,
