time/iterations,curriculum/success_rate,rollout/episodes,curriculum/frontier,time/fps,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/clip_range,train/explained_variance,train/value_loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/loss,rollout/fill_mean,rollout/success_rate,rollout/win_rate_true_start,rollout/ep_rew_mean,rollout/fill_mean_true_start,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,eval/success_rate
45,0.41899441340782123,1779,255,32665,11796480,361,0.13285319010416666,0.18269849600000002,0.9059714078903198,2.132661634021335,0.029136661,0.00026655042559999996,0.006527899311751955,-0.4427783530619409,134,1.064574956893921,0.872406812113547,0.43,0.0,19.146276473999023,0.3557585685483871,94.75,,,
46,0.43740496705524584,1846,255,32924,12058624,366,0.117431640625,0.18230528000000001,0.897175669670105,2.1531924192722025,0.014360188,0.000265790208,0.008965197959556602,-0.43473412784246296,135,1.12505304813385,0.8573181879739978,0.38,0.0,25.33310317993164,0.3633336126005362,137.95,,,
47,0.44990079365079366,1886,255,33012,12320768,373,0.14313737736191862,0.181912064,0.8838455677032471,2.204144445962684,0.015178832,0.0002650299904,0.005292599961204931,-0.42989488847033924,138,1.080770492553711,0.8621213878579003,0.38,0.0,24.237232208251953,0.3666596283783784,133.82,,,
,,,,,12582912,,0.138330078125,0.181518848,0.8896820545196533,2.3069294929504394,0.020707984,0.00026426977279999996,0.015329327899962664,-0.42806910872459414,139,1.1179555654525757,,,,,,,564.65,96.17657470703125,0.0
48,0.4425287356321839,1778,255,32903,12582912,382,,,,,,,,,,,0.8565826244375703,0.31,0.0,29.582752227783203,0.37060010302197804,178.3,,,
49,0.4555052790346908,1879,255,32937,12845056,389,0.145301513671875,0.181125632,0.8910971879959106,2.1509155213832853,0.034824185,0.0002635095552,0.006605621003545821,-0.4225009739398956,143,1.041046142578125,0.8562254689994678,0.3,0.0,23.410717010498047,0.3738681891025641,130.33,,,
50,0.4658385093167702,1824,255,33022,13107200,396,0.12695477459881757,0.180732416,0.8966467976570129,2.1583871712555758,0.014790903,0.0002627493376,0.004366520008802213,-0.4161871015220075,146,1.0336965322494507,0.8525219298245614,0.41,0.0,25.18503189086914,0.3755680006377551,136.02,,,
51,0.4625615763546798,1955,255,33285,13369344,401,0.1200222439236111,0.1803392,0.9002268314361572,2.282095538245307,0.0160316,0.00026198911999999997,0.010323637630790472,-0.4114580386214786,147,1.1670701503753662,0.8496143702046036,0.39,0.0,28.31133270263672,0.36939338235294117,159.73,,,
52,0.47368421052631576,1881,255,33375,13631488,408,0.13574548669763514,0.179945984,0.8927447199821472,2.3190497933207332,0.028527755,0.00026122890239999995,0.0055873622674167765,-0.41156708992816304,150,1.2271226644515991,0.8634702286018076,0.38,0.0,24.18476104736328,0.37111503746594005,136.29,,,
53,0.45947265625,1930,255,33420,13893632,415,0.1284303129389045,0.179552768,0.899688720703125,2.1783563193310513,0.016867513,0.0002604686848,0.004159294619497037,-0.4042441466551148,153,1.131442666053772,0.8605387791450777,0.34,0.0,18.42501449584961,0.3692019797120419,96.02,,,
