curriculum/frontier,time/total_timesteps,time/iterations,curriculum/success_rate,time/fps,time/time_elapsed,rollout/episodes,rollout/ep_len_mean,rollout/success_rate,train/explained_variance,rollout/ep_rew_mean,train/approx_kl,rollout/win_rate_true_start,train/learning_rate,rollout/fill_mean,train/n_updates,train/entropy_loss,rollout/fill_mean_true_start,train/value_loss,train/clip_range,train/loss,train/clip_fraction,train/policy_gradient_loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
1,2260992,69,nan,39102,57,705,46.04,0.95,0.7402150630950928,24.224958419799805,0.0013232086,0.948936170212766,0.000170763008,0.9920212765957447,272,-0.10647215228527784,0.9920212765957447,1.1453532129526138,0.13315328,0.5591530799865723,0.019378662109375,-0.0004136978750466369,,,
,2293760,,,,,,,,0.751732587814331,,0.0011499715,,0.000168862464,,276,-0.10188181232661009,,1.0537941474467516,0.13217024,0.5272473692893982,0.02085113525390625,-0.0009265069929824676,0.98,24.615467071533203,45.53
1,2293760,70,nan,38899,58,712,44.62,0.93,,23.956377029418945,,0.9452247191011236,,0.9910463483146067,,,0.9910463483146067,,,,,,,,
1,2326528,71,nan,38974,59,749,45.35,0.95,0.7338230013847351,24.29564666748047,0.00053317135,0.9412550066755674,0.00016696191999999999,0.9895694259012016,280,-0.10425382503308356,0.9895694259012016,1.219773456454277,0.1311872,0.5401764512062073,0.01299285888671875,-0.0007987701210367959,,,
1,2359296,72,nan,39026,60,729,44.66,0.95,0.7341139316558838,24.246335983276367,0.00063077034,0.9506172839506173,0.000165061376,0.9897119341563786,284,-0.10089689376764,0.9897119341563786,1.258634865283966,0.13020416,0.5877272486686707,0.0153961181640625,-0.0007267078326549381,,,
1,2392064,73,nan,39055,61,743,45.32,0.92,0.739044725894928,23.775672912597656,0.0007286268,0.946164199192463,0.000163160832,0.9901581426648721,288,-0.10357987461611629,0.9901581426648721,1.1349247749894857,0.12922112000000002,0.4943656325340271,0.0164642333984375,-0.0006757708688382991,,,
1,2424832,74,nan,39110,61,699,45.34,0.97,0.725250244140625,24.525653839111328,0.0011073389,0.9527896995708155,0.00016126028799999997,0.9920422031473534,292,-0.10105007933452725,0.9920422031473534,1.2359877564013004,0.12823807999999998,0.5119509696960449,0.01959991455078125,-0.0008233668813772965,,,
1,2457600,75,nan,39089,62,754,45.86,0.98,0.7529580593109131,24.63513946533203,0.00067685737,0.9562334217506632,0.00015935974399999999,0.993368700265252,296,-0.10605340613983572,0.993368700265252,1.006641823798418,0.12725503999999999,0.6570908427238464,0.0167388916015625,-0.0007914651578175835,,,
1,2490368,76,nan,39120,63,760,44.65,0.96,0.760564386844635,24.406339645385742,0.0007156716,0.9447368421052632,0.00015745920000000003,0.9887335526315789,300,-0.10115226753987372,0.9887335526315789,0.9984788373112679,0.126272,0.4235560894012451,0.0131988525390625,-0.00076392028859118,,,
1,2523136,77,nan,39182,64,706,44.23,0.92,0.7250952124595642,23.81676483154297,0.0006311786,0.943342776203966,0.000155558656,0.9901735127478754,304,-0.1014318026136607,0.9901735127478754,1.315145630389452,0.12528896,0.5530826449394226,0.01589202880859375,-0.0007543318697571522,,,
