time/fps,time/total_timesteps,time/time_elapsed,rollout/episodes,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,rollout/win_rate_true_start,train/value_loss,train/n_updates,rollout/fill_mean,train/clip_range,train/explained_variance,rollout/ep_rew_mean,train/loss,train/approx_kl,rollout/success_rate,rollout/ep_len_mean,rollout/fill_mean_true_start,train/clip_fraction,eval/mean_reward,eval/success_rate,eval/mean_ep_length
37671,1114112,29,891,34,-0.3249432472512126,-0.0008640794840175658,0.00023728204799999998,0.7059483726150393,6.99108299612999,132,0.9580527497194163,0.16755968,0.3819214701652527,21.693584442138672,3.5696022510528564,0.0026736634,0.75,37.41,0.9580527497194163,0.038604736328125,,,
37685,1146880,30,870,35,-0.32005843613296747,-0.0006704658444505185,0.000235381504,0.6781609195402298,6.462437078356743,136,0.954382183908046,0.16657664,0.396236777305603,19.901918411254883,3.404885768890381,0.0025193149,0.62,39.08,0.954382183908046,0.0261993408203125,,,
37682,1179648,31,890,36,-0.31507246289402246,-0.0008787637525529135,0.00023348095999999998,0.6617977528089888,6.755030736327171,140,0.9488061797752809,0.1655936,0.40515851974487305,18.954267501831055,3.505863904953003,0.0029328617,0.55,36.73,0.9488061797752809,0.03510284423828125,,,
37685,1212416,32,882,37,-0.31246635876595974,-0.0010542066556809004,0.000231580416,0.6938775510204082,6.970719054341316,144,0.9544359410430839,0.16461056000000002,0.4054747223854065,21.514375686645508,3.2942142486572266,0.0028700687,0.74,36.62,0.9544359410430839,0.03531646728515625,,,
37698,1245184,33,904,38,-0.30700892955064774,-0.0004829993995372206,0.00022967987199999998,0.7212389380530974,6.387609645724297,148,0.9573423672566371,0.16362752,0.40839773416519165,21.573556900024414,3.2016937732696533,0.002294924,0.75,37.44,0.9573423672566371,0.03501129150390625,,,
37715,1277952,33,896,39,-0.30077260360121727,-0.00010291579383192584,0.00022777932799999997,0.7176339285714286,6.416679814457893,152,0.96240234375,0.16264447999999998,0.39059585332870483,21.693605422973633,3.259964942932129,0.0016735181,0.75,37.39,0.96240234375,0.0238800048828125,,,
,1310720,,,,-0.3022667486220598,-0.001242740221641725,0.000225878784,,6.201439082622528,156,,0.16166144,0.40867042541503906,,3.0658559799194336,0.0016520643,,,,0.023193359375,22.293773651123047,0.8,37.19
37181,1310720,35,904,40,,,,0.6935840707964602,,,0.9582411504424779,,,21.384685516357422,,,0.73,36.31,0.9582411504424779,,,,
37230,1343488,36,874,41,-0.30058860406279564,-0.0006729827291565016,0.00022397824000000002,0.7196796338672768,6.433982118964195,160,0.9610268878718535,0.1606784,0.415866494178772,22.023008346557617,3.2553439140319824,0.0034690336,0.78,37.99,0.9610268878718535,0.03125762939453125,,,
37273,1376256,36,879,42,-0.29921972658485174,-0.0004370929018477909,0.00022207769599999998,0.7417519908987485,6.17134490609169,164,0.9616751990898749,0.15969536,0.4111033082008362,22.25445556640625,2.8929831981658936,0.001978454,0.79,36.54,0.9616751990898749,0.03466796875,,,
