curriculum/frontier,time/iterations,time/total_timesteps,curriculum/success_rate,time/fps,time/time_elapsed,rollout/episodes,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/value_loss,train/n_updates,train/loss,train/entropy_loss,rollout/ep_rew_mean,rollout/fill_mean_true_start,rollout/win_rate_true_start,rollout/ep_len_mean,rollout/fill_mean,rollout/success_rate,eval/mean_ep_length,eval/success_rate,eval/mean_reward
80,36,4718592,0.41181988742964354,47935,98,2000,0.0002556539733333333,0.8877782821655273,-0.0008233150529122213,0.016878128051757812,0.1770624,0.0018456192,3.1051869988441467,140,1.526942253112793,-0.31870664842426777,14.234109878540039,0.5189210950080515,0.0,66.9,0.8883703703703705,0.29,,,
80,37,4849664,0.41196333815726,48014,101,2010,0.00025438694399999997,0.8879945874214172,-0.0009072008833754808,0.020263671875,0.17640704000000001,0.0016491475,2.96109376847744,144,1.5076863765716553,-0.3197637922130525,14.463972091674805,0.5242817187897278,0.0,67.04,0.8728517904305633,0.32,,,
80,38,4980736,0.41715312079030087,48063,103,2160,0.0002531199146666667,0.8846422433853149,-9.813399719860172e-05,0.027263641357421875,0.17575168000000002,0.0023875593,3.0714388117194176,148,1.5643988847732544,-0.3069412992335856,13.559189796447754,0.5241353747897243,0.0,61.82,0.8813728852309098,0.3,,,
80,39,5111808,0.43838862559241704,48115,106,1968,0.00025185288533333334,0.8883385062217712,-0.0010433415918669198,0.015058517456054688,0.17509632,0.0014315197,3.0946460962295532,152,1.6069767475128174,-0.3045322257094085,12.103568077087402,0.53193323677495,0.0,57.44,0.8929852955936967,0.31,,,
,,5242880,,,,,0.000250585856,0.8956042528152466,-0.0006255360985960579,0.022634506225585938,0.17444096,0.0017197204,2.836075033992529,156,1.3897244930267334,-0.30471935868263245,,,,,,,180.34,0.0,41.950706481933594
80,40,5242880,0.4432793136320305,47569,110,2011,,,,,,,,,,,14.712541580200195,0.5205512211161929,0.0,68.47,0.8800670386945871,0.28,,,
80,41,5373952,0.43645320197044335,47609,112,1941,0.00024931882666666665,0.8851877450942993,-0.0013238183601060882,0.0192108154296875,0.1737856,0.0020050532,3.1374265514314175,160,1.6178843975067139,-0.30655610002577305,14.690742492675781,0.5276200774984231,0.0,70.27,0.8784195495512686,0.33,,,
80,42,5505024,0.46079335793357934,47665,115,2085,0.0002480517973333333,0.8880369067192078,-0.0008582600330555579,0.0226593017578125,0.17313024000000002,0.0016112693,2.994664743542671,164,1.5659799575805664,-0.2981295585632324,15.939763069152832,0.5325813423335406,0.0,71.25,0.8860230334251117,0.36,,,
80,43,5636096,0.45705098759761137,47678,118,2094,0.00024678476799999997,0.8843915462493896,-0.0008206406910176156,0.022546768188476562,0.17247488,0.0016458645,3.0804001577198505,168,1.5681787729263306,-0.28849889477714896,15.163673400878906,0.5288509932794505,0.0,67.34,0.8852099472920867,0.41,,,
80,44,5767168,0.4562647754137116,47721,120,1999,0.0002455177386666666,0.8906081318855286,-0.0011308741395623656,0.022495269775390625,0.17181952,0.001768989,3.1063824519515038,172,1.606134295463562,-0.28866267250850797,17.025333404541016,0.5228587962962963,0.0,75.68,0.8871596291973147,0.4,,,
80,45,5898240,0.46179401993355484,47778,123,2016,0.00024425070933333334,0.8882512450218201,-0.0011999850812571822,0.018198013305664062,0.17116416,0.0014823712,3.0274967178702354,176,1.5352826118469238,-0.2828700286336243,15.44857406616211,0.52168794711582,0.0,72.44,0.8819138252008623,0.32,,,
80,46,6029312,0.4878974845752254,47828,126,2012,0.00024298368,0.8870396614074707,-0.0010254923608954414,0.018798828125,0.17050880000000002,0.0014879939,3.0585565119981766,180,1.5241953134536743,-0.2748831450007856,15.003252029418945,0.5254686785550983,0.0,67.76,0.8852011388459367,0.38,,,
80,47,6160384,0.48477406679764246,47828,128,1917,0.00024171665066666665,0.8874224424362183,-0.0008941989690356422,0.022672653198242188,0.16985344,0.0015569108,3.0625691078603268,184,1.5443843603134155,-0.2726213373243809,16.857393264770508,0.5360811380058974,0.0,73.62,0.8874591858420758,0.46,,,
80,48,6291456,0.5081053698074974,47840,131,1863,0.00024044962133333334,0.8919312953948975,-0.00027410219263401814,0.02404022216796875,0.16919808,0.001761114,2.9119505621492863,188,1.4702670574188232,-0.27217430248856544,18.59927749633789,0.5278174489828303,0.0,81.74,0.8831567298198181,0.42,,,
80,49,6422528,0.5088289962825279,47801,134,2061,0.000239182592,0.8932309746742249,-0.0008209861061914125,0.020816802978515625,0.16854272,0.0016363751,2.7984207682311535,192,1.3824288845062256,-0.2742667477577925,13.443778991699219,0.5321319689697848,0.0,57.23,0.8880802199579493,0.38,,,
,,6553600,,,,,0.00023791556266666665,0.8879004120826721,-0.0007218835762614617,0.021738052368164062,0.16788736,0.0018900547,2.9815390929579735,196,1.5351414680480957,-0.26834167214110494,,,,,,,186.63,0.0,42.51442337036133
80,50,6553600,0.5215027187345527,47376,138,1928,,,,,,,,,,,19.2147274017334,0.5275720164609053,0.0,86.29,0.8822293939859638,0.44,,,
80,51,6684672,0.5454978561219629,47427,140,1989,0.0002366485333333333,0.8910829424858093,-0.0007750523018330568,0.023822784423828125,0.167232,0.002195232,2.8778851069509983,200,1.500265121459961,-0.2589506935328245,14.735421180725098,0.5188350743906299,0.0,65.59,0.8880447398965917,0.45,,,
80,52,6815744,0.5258924082453494,47464,143,1886,0.000235381504,0.8918745517730713,-0.00033660193912510294,0.029571533203125,0.16657664,0.0021312144,2.9216002859175205,204,1.365673303604126,-0.25823068898171186,15.993721961975098,0.5224989893335821,0.0,67.29,0.881498500975348,0.46,,,
80,53,6946816,0.564484126984127,47542,146,1920,0.00023411447466666665,0.893672525882721,-0.001065031818143325,0.020833969116210938,0.16592128,0.0017696021,2.8118677623569965,208,1.4110649824142456,-0.2600090457126498,16.44075584411621,0.5239579513506907,0.0,80.26,0.8843428497942386,0.33,,,
80,54,7077888,0.5625308947108255,47553,148,1916,0.0002328474453333333,0.8851220607757568,-0.0006307514977379469,0.024232864379882812,0.16526592,0.0015865876,2.8543705828487873,212,1.4537521600723267,-0.2464195026550442,16.403141021728516,0.5305186441742845,0.0,67.87,0.8874842135106575,0.49,,,
80,55,7208960,0.582843137254902,47614,151,1930,0.000231580416,0.8914556503295898,0.0002254033997814986,0.024728775024414062,0.16461056000000002,0.0017291965,2.7459176294505596,216,1.345584750175476,-0.24032102664932609,17.486831665039062,0.5318455207344096,0.0,74.18,0.8905904177061345,0.51,,,
80,56,7340032,0.5855,47627,154,1877,0.00023031338666666665,0.8932201862335205,0.0002703253903746372,0.030498504638671875,0.16395520000000002,0.0017681504,2.748591274023056,220,1.3902411460876465,-0.23723860713653266,15.902412414550781,0.5312244162818875,0.0,68.6,0.8906384630057157,0.48,,,
80,57,7471104,0.578354554358472,47641,156,1902,0.0002290463573333333,0.8880099654197693,-0.0006067036265449133,0.025226593017578125,0.16329984,0.001574645,2.7644165568053722,224,1.3852157592773438,-0.2336639272980392,15.037738800048828,0.5283264746227709,0.0,63.27,0.8949773467824642,0.49,,,
80,58,7602176,0.5848303393213573,47716,159,1898,0.00022777932799999997,0.8904073238372803,0.00047870642902125837,0.031118392944335938,0.16264447999999998,0.00315018,2.6899168826639652,228,1.2868198156356812,-0.22784911678172648,17.873424530029297,0.5299555054208184,0.0,77.59,0.8876595246458261,0.49,,,
80,59,7733248,0.61181640625,47787,161,1928,0.00022651229866666665,0.8906725645065308,0.00045505377875088016,0.033660888671875,0.16198912000000001,0.0018518422,2.693348754197359,232,1.3524976968765259,-0.22583601623773575,16.577392578125,0.529304743339831,0.0,73.62,0.893358434506429,0.41,,,
,,7864320,,,,,0.0002252452693333333,0.8913794755935669,-0.00018937940512842033,0.026350021362304688,0.16133376,0.0016639202,2.638023942708969,236,1.3640471696853638,-0.2221509125083685,,,,,,,190.22,0.0,40.86080551147461
80,60,7864320,0.6164451009354998,47346,166,1889,,,,,,,,,,,14.359627723693848,0.5243120215187254,0.0,61.38,0.8953460253971988,0.5,,,
80,61,7995392,0.6053169734151329,47378,168,1830,0.00022397824000000002,0.8962828516960144,-0.0004509900591074256,0.025936126708984375,0.1606784,0.0017412738,2.6526989489793777,240,1.3769972324371338,-0.22799033857882023,19.167604446411133,0.529873902422922,0.0,83.41,0.8897524117924847,0.47,,,
80,62,8126464,0.6165723108594956,47404,171,1828,0.00022271121066666668,0.889561116695404,0.000474019298053463,0.03513908386230469,0.16002304,0.0029127481,2.711755845695734,244,1.3515113592147827,-0.22806532494723797,16.24850082397461,0.528651595318262,0.0,72.51,0.8876192019882757,0.45,,,
80,63,8257536,0.6072727272727273,47414,174,1832,0.00022144418133333333,0.8915642499923706,0.0003264826145823463,0.03312873840332031,0.15936768,0.002450083,2.645441673696041,248,1.3254905939102173,-0.22497207042761147,14.87763786315918,0.5156065156065156,0.0,63.37,0.8794476791201683,0.49,,,
80,64,8388608,0.6075509190263289,47434,176,1902,0.000220177152,0.8830471634864807,-0.0006115990363468882,0.02976226806640625,0.15871232000000002,0.0019441408,2.8137000016868114,252,1.3798786401748657,-0.22114244452677667,16.687782287597656,0.536894220698848,0.0,73.23,0.8918682089029092,0.49,,,
80,65,8519680,0.615225271879855,47475,179,1792,0.00021891012266666665,0.895628809928894,1.550733759358991e-05,0.030094146728515625,0.15805696,0.0020839276,2.6063688546419144,256,1.3517204523086548,-0.22062795818783343,18.96973419189453,0.5298382408262371,0.0,81.28,0.8919684193121693,0.47,,,
80,66,8650752,0.6024217961654894,47497,182,1848,0.0002176430933333333,0.8853931427001953,0.00029782541787426453,0.0344085693359375,0.1574016,0.003037094,2.7858587838709354,260,1.425673484802246,-0.22035012277774513,14.4502592086792,0.5350131552317344,0.0,60.75,0.8938792688792689,0.49,,,
80,67,8781824,0.6163287086446104,47513,184,1782,0.00021637606399999996,0.8894988894462585,0.0009746307787281694,0.04073905944824219,0.15674624,0.0030847602,2.7282000593841076,264,1.2865240573883057,-0.2199996344279498,16.500463485717773,0.5250242072137496,0.0,70.55,0.8792728381205748,0.52,,,
80,68,8912896,0.6360406091370558,47561,187,1846,0.00021510903466666668,0.8910037875175476,0.000303848786643357,0.036296844482421875,0.15609088000000002,0.0024374719,2.624525859951973,268,1.3149532079696655,-0.21391157526522875,15.591651916503906,0.5359206724454951,0.0,69.36,0.8937576073726308,0.52,,,
80,69,9043968,0.6239795918367347,47570,190,1827,0.00021384200533333333,0.8966403603553772,0.00019675476141856052,0.03440093994140625,0.15543552,0.0023041244,2.57422798499465,272,1.276702642440796,-0.21242475463077426,15.075661659240723,0.5335889931711911,0.0,65.35,0.894017717772507,0.43,,,
,,9175040,,,,,0.000212574976,0.887580931186676,-0.0004975854799340595,0.0266571044921875,0.15478016,0.0022494341,2.772262029349804,276,1.3989949226379395,-0.21297178254462779,,,,,,,183.89,0.0,40.99713897705078
80,70,9175040,0.6104092976250631,47243,194,1879,,,,,,,,,,,18.013412475585938,0.5200925925925926,0.0,77.6,0.8852554878809978,0.41,,,
80,71,9306112,0.6268166901078294,47289,196,2034,0.00021130794666666665,0.8820109963417053,0.000773352829128271,0.045322418212890625,0.1541248,0.0020694039,2.8510683365166187,280,1.4210994243621826,-0.20841931691393256,14.959568977355957,0.5372063667990518,0.0,61.44,0.8959418284229822,0.48,,,
80,72,9437184,0.6350401606425703,47346,199,1846,0.0002100409173333333,0.8846155405044556,-4.1317798604723066e-07,0.03334999084472656,0.15346943999999998,0.0033869026,2.848662309348583,284,1.5048819780349731,-0.19852604973129928,16.154067993164062,0.5297133291483574,0.0,66.94,0.8978772922434894,0.56,,,
80,73,9568256,0.6251256281407035,47347,202,1844,0.000208773888,0.8956009745597839,-0.0003056443338209647,0.029710769653320312,0.15281408000000002,0.0017618694,2.5529604218900204,288,1.3263598680496216,-0.19975560158491135,15.181458473205566,0.5292250819557788,0.0,69.55,0.897960686644707,0.48,,,
80,74,9699328,0.6396907216494845,47374,204,1820,0.00020750685866666665,0.8897047638893127,-0.00022830463967693504,0.029054641723632812,0.15215872,0.002289229,2.6450565941631794,292,1.274912714958191,-0.1981948665343225,16.39999008178711,0.5226445743989604,0.0,71.02,0.8890584723918057,0.5,,,
80,75,9830400,0.658487731597396,47404,207,1857,0.00020623982933333333,0.8907508254051208,0.0004718910013252753,0.039989471435546875,0.15150336,0.0029193102,2.627753257751465,296,1.3461061716079712,-0.1935426949057728,15.82532024383545,0.5406378600823045,0.0,65.69,0.8996390035700752,0.54,,,
80,76,9961472,0.6742620403935785,47430,210,1808,0.0002049728,0.8937293291091919,0.001045697459630901,0.04123497009277344,0.150848,0.0018615942,2.5189521722495556,300,1.2543625831604004,-0.19344272115267813,15.397378921508789,0.5329272685594524,0.0,63.63,0.8928629957391019,0.49,,,
80,77,10092544,0.6617790811339198,47434,212,1923,0.00020370577066666665,0.8899803161621094,0.0005127145659571397,0.03871917724609375,0.15019264,0.0015569886,2.568710148334503,304,1.249274730682373,-0.19142846739850938,15.429468154907227,0.5246094901267315,0.0,61.54,0.8968176010991057,0.55,,,
80,78,10223616,0.6624171341152473,47427,215,1818,0.0002024387413333333,0.8792305588722229,-4.407478991197422e-05,0.030954360961914062,0.14953728,0.002404529,2.7948894277215004,308,1.36387038230896,-0.1845305406022817,17.562610626220703,0.5274060241380503,0.0,68.4,0.8970310611308043,0.57,,,
80,79,10354688,0.6664992466097438,47436,218,1831,0.00020117171199999996,0.8881867527961731,-0.00016967028204817325,0.029636383056640625,0.14888192,0.0017745653,2.6453848481178284,312,1.292657494544983,-0.18572656903415918,17.389989852905273,0.5237109658678286,0.0,71.02,0.9018076878990768,0.6,,,
,,10485760,,,,,0.00019990468266666667,0.8870478272438049,0.001637578172449139,0.04786109924316406,0.14822656,0.0019170705,2.610912051051855,316,1.278031826019287,-0.18668168387375772,,,,,,,190.24,0.0,42.56080627441406
80,80,10485760,0.6815189873417722,47094,222,1870,,,,,,,,,,,18.388643264770508,0.5367713705266448,0.0,72.37,0.8931009440813363,0.56,,,
80,81,10616832,0.6898024559530166,47150,225,1751,0.00019863765333333333,0.8871968984603882,0.0007458968302671565,0.0384063720703125,0.1475712,0.0038069508,2.648235734552145,320,1.330393671989441,-0.18254028260707855,19.31988525390625,0.5266183290874649,0.0,81.13,0.8884729008467823,0.47,,,
80,82,10747904,0.6750629722921915,47163,227,1808,0.000197370624,0.8838725686073303,-0.00048539877843722934,0.03243827819824219,0.14691584000000002,0.0025407942,2.580237578600645,324,1.3886206150054932,-0.1788420162629336,17.082992553710938,0.5268508963039408,0.0,78.02,0.9059597946028625,0.5,,,
80,83,10878976,0.684400826446281,47175,230,1812,0.00019610359466666665,0.8861784934997559,1.9159413568559103e-05,0.035411834716796875,0.14626048,0.0018920742,2.5554281771183014,328,1.2830578088760376,-0.17811286495998502,19.279964447021484,0.535428158655109,0.0,81.05,0.8943735862426075,0.56,,,
80,84,11010048,0.6703614457831325,47198,233,1946,0.0001948365653333333,0.8904404640197754,0.0011000365302606951,0.04604339599609375,0.14560512,0.0026321535,2.5055548138916492,332,1.2086015939712524,-0.17774036200717092,16.217849731445312,0.5284017170809624,0.0,63.16,0.899737352974763,0.51,,,
80,85,11141120,0.6903225806451613,47199,236,1837,0.00019356953599999996,0.8757039308547974,0.00420422431670886,0.07262420654296875,0.14494975999999998,0.0063665416,2.823963899165392,336,1.3308597803115845,-0.17578435502946377,16.8563289642334,0.5258415765662142,0.0,64.68,0.9082911617841757,0.57,,,
80,86,11272192,0.6781901372648703,47222,238,1843,0.00019230250666666662,0.8860572576522827,0.0024309827713295817,0.056056976318359375,0.1442944,0.0020525819,2.54729562997818,340,1.21279776096344,-0.1766536182258278,17.261890411376953,0.5327685841870239,0.0,69.12,0.8958488240456047,0.56,,,
80,87,11403264,0.6915699141847552,47230,241,1866,0.00019103547733333333,0.8839342594146729,0.0005131955113029107,0.044574737548828125,0.14363904,0.0026006803,2.5618166849017143,344,1.289035439491272,-0.17681981227360666,14.889448165893555,0.5246753246753246,0.0,61.56,0.8932158310507721,0.56,,,
80,88,11534336,0.6867219917012448,47245,244,1791,0.000189768448,0.8805216550827026,0.0011275052747805603,0.06073188781738281,0.14298368,0.0029564267,2.6539947018027306,348,1.3131310939788818,-0.17569035780616105,18.701927185058594,0.5289936401047511,0.0,79.09,0.8963886648606545,0.53,,,
