curriculum/frontier,time/fps,rollout/episodes,curriculum/success_rate,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_range,train/approx_kl,rollout/ep_len_mean,train/learning_rate,rollout/fill_mean,rollout/success_rate,train/loss,train/value_loss,rollout/win_rate_true_start,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,rollout/ep_rew_mean,train/n_updates,rollout/fill_mean_true_start,train/entropy_loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate
1,35756,895,0.625,68,62,2228224,0.13413632,0.0020225039,36.56,0.000172663552,0.9740921787709497,0.88,2.2661590576171875,4.754982769489288,0.8178770949720671,0.5155870914459229,0.03383636474609375,-0.0011359781892679166,23.39443588256836,268,0.9740921787709497,-0.2384659517556429,,,
1,35783,926,0.625,69,63,2260992,0.13315328,0.002942127,35.91,0.000170763008,0.978469222462203,0.76,2.438924551010132,4.487798064947128,0.8412526997840173,0.5236078500747681,0.04170989990234375,-0.0008816608242341317,21.795087814331055,272,0.978469222462203,-0.23448235308751464,,,
,,,,,,2293760,0.13217024,0.0020035538,,0.000168862464,,,2.261523485183716,4.204182602465153,,0.5332983732223511,0.0404510498046875,-0.0008721901340322802,,276,,-0.2340523968450725,34.55,23.076435089111328,0.86
1,35593,918,0.625,70,64,2293760,,,36.28,,0.9755582788671024,0.82,,,0.8126361655773421,,,,22.624719619750977,,0.9755582788671024,,,,
1,35632,928,0.625,71,65,2326528,0.1311872,0.0021352284,35.68,0.00016696191999999999,0.9738685344827587,0.77,2.196308135986328,4.5925872921943665,0.8146551724137931,0.5268652439117432,0.04669952392578125,-0.0005440530258056242,21.83531951904297,280,0.9738685344827587,-0.2332434500567615,,,
1,35638,932,0.625,72,66,2359296,0.13020416,0.0017024165,36.73,0.000165061376,0.9786078326180258,0.82,2.291499137878418,4.825694426894188,0.8261802575107297,0.5196335315704346,0.03179168701171875,-0.0010965143810608424,22.61426544189453,284,0.9786078326180258,-0.23411991726607084,,,
1,35661,927,0.625,73,67,2392064,0.12922112000000002,0.0013471213,36.14,0.000163160832,0.97680690399137,0.83,2.2110328674316406,4.474192649126053,0.8090614886731392,0.5367152690887451,0.0259552001953125,-0.0007725032846792601,22.82485580444336,288,0.97680690399137,-0.22704487387090921,,,
1,35699,900,0.625,74,67,2424832,0.12823807999999998,0.0014926137,36.82,0.00016126028799999997,0.9797222222222223,0.85,2.2841908931732178,4.778651148080826,0.8277777777777777,0.5319861173629761,0.02484130859375,-0.0005821491358801723,22.994176864624023,292,0.9797222222222223,-0.2298944923095405,,,
1,35735,925,0.625,75,68,2457600,0.12725503999999999,0.0013531554,35.43,0.00015935974399999999,0.9742567567567567,0.72,2.1307733058929443,4.233088746666908,0.8032432432432433,0.5509742498397827,0.026275634765625,-0.0007859028810344171,21.275564193725586,296,0.9742567567567567,-0.2252741176635027,,,
1,35751,921,0.625,76,69,2490368,0.126272,0.001153629,34.34,0.00015745920000000003,0.9781487513572205,0.91,2.437084674835205,4.91737374663353,0.8306188925081434,0.5221307277679443,0.0226593017578125,-0.0008184741745935753,23.746654510498047,300,0.9781487513572205,-0.2309370436705649,,,
1,35766,960,0.625,77,70,2523136,0.12528896,0.001384448,33.61,0.000155558656,0.9753255208333333,0.82,2.272841215133667,4.3926165252923965,0.8135416666666667,0.5295215845108032,0.029876708984375,-0.000713719375198707,22.66738510131836,304,0.9753255208333333,-0.22505161399021745,,,
1,35764,906,0.625,78,71,2555904,0.12430591999999999,0.0011936513,35.74,0.000153658112,0.9784078366445916,0.82,2.4238357543945312,4.758636504411697,0.8289183222958058,0.5190377235412598,0.0286407470703125,-0.0004757611495733727,22.575254440307617,308,0.9784078366445916,-0.22518856870010495,,,
1,35771,936,0.625,79,72,2588672,0.12332288,0.001112133,35.53,0.000151757568,0.9825721153846154,0.82,2.1154260635375977,4.341747008264065,0.8514957264957265,0.5354690551757812,0.02938079833984375,-0.0006522644725919235,22.615463256835938,312,0.9825721153846154,-0.22461256943643093,,,
,,,,,,2621440,0.12233983999999999,0.0015530637,,0.000149857024,,,2.1370010375976562,4.014560408890247,,0.5542581081390381,0.03032684326171875,-0.0005062807686044835,,316,,-0.21989850932732224,34.3,23.26669692993164,0.87
1,35579,902,0.625,80,73,2621440,,,35.83,,0.9742239467849224,0.84,,,0.8192904656319291,,,,22.905166625976562,,0.9742239467849224,,,,
1,35592,933,0.625,81,74,2654208,0.1213568,0.001012133,35.3,0.00014795648,0.9782288317256163,0.8,2.15095853805542,4.583617068827152,0.8263665594855305,0.5339796543121338,0.01966094970703125,-0.0005019067793909926,22.45569610595703,320,0.9782288317256163,-0.22087647067382932,,,
1,35621,954,0.625,82,75,2686976,0.12037376,0.0015760969,33.72,0.000146055936,0.9772012578616353,0.82,2.0634236335754395,4.444840267300606,0.8291404612159329,0.5556424856185913,0.036590576171875,-0.0007377416259259917,22.507278442382812,324,0.9772012578616353,-0.2189885089173913,,,
1,35627,911,0.625,83,76,2719744,0.11939072,0.0015821534,35.13,0.000144155392,0.9774286498353457,0.77,2.231126308441162,4.519850000739098,0.8342480790340285,0.5409711003303528,0.03564453125,-0.0005845178347954061,22.045869827270508,328,0.9774286498353457,-0.22234185924753547,,,
